,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Penzance,75,GB,1573942635,100,50.12,-5.53,10.0,1.5
1,Evensk,68,RU,1573942754,76,61.92,159.24,-13.57,5.86
2,Port Alfred,13,ZA,1573942754,94,-33.59,26.89,18.89,0.45
3,Chincha Alta,23,PE,1573942754,30,-13.42,-76.13,22.0,8.7
4,Borcea,90,RO,1573942754,93,44.33,27.73,14.0,4.1
5,Laguna,40,BZ,1573943074,69,16.17,-88.94,28.0,2.1
6,Ushuaia,90,AR,1573942551,62,-54.81,-68.31,13.0,6.2
7,Port Blair,40,IN,1573942641,100,11.67,92.75,25.0,4.05
8,Clyde River,75,CA,1573943074,65,70.47,-68.59,-13.0,3.6
9,Katherine,9,AU,1573942755,61,-14.47,132.26,25.0,1.8
10,Jamestown,45,AU,1573942756,80,-33.21,138.6,7.78,3.34
11,Provideniya,100,RU,1573943075,92,64.42,-173.23,-7.39,5.8
12,Vao,100,EE,1573943075,96,59.1,26.19,2.61,3.82
13,Albany,20,US,1573942605,30,42.65,-73.75,-2.22,3.1
14,Yerbogachen,0,RU,1573942756,95,61.28,108.01,-32.91,2.31
15,Kendari,11,ID,1573942757,94,-3.99,122.52,22.49,1.01
16,Barrow,0,AR,1573942757,43,-38.31,-60.23,22.94,4.97
17,Atuona,1,PF,1573942757,73,-9.8,-139.03,26.51,6.82
18,Victoria,75,BN,1573942509,88,5.28,115.24,26.0,0.5
19,Jawhar,70,IN,1573942758,72,19.91,73.23,24.72,1.98
20,Avarua,0,CK,1573942758,69,-21.21,-159.78,27.0,5.7
21,Mount Isa,2,AU,1573942758,10,-20.73,139.49,29.0,8.2
22,Kaitangata,67,NZ,1573942758,50,-46.28,169.85,16.11,3.13
23,Punta Arenas,100,CL,1573942759,47,-53.16,-70.91,14.0,7.7
24,Sohag,0,EG,1573942759,45,26.55,31.7,20.0,3.6
25,Rikitea,95,PF,1573942759,84,-23.12,-134.97,23.49,7.04
26,Souillac,1,FR,1573942759,100,45.6,-0.6,7.22,1.5
27,Seabra,100,BR,1573942486,68,-12.42,-41.77,22.13,1.69
28,Zhigansk,100,RU,1573942760,99,66.77,123.37,-21.96,2.98
29,Sao Filipe,92,CV,1573942760,80,14.9,-24.5,22.69,7.36
30,Bethel,90,US,1573943079,71,60.79,-161.76,-12.0,7.7
31,Biak,34,ID,1573943079,71,-0.91,122.88,26.92,3.24
32,Pimentel,9,BR,1573942761,71,-3.7,-45.5,27.85,1.83
33,Namibe,91,AO,1573942761,78,-15.19,12.15,21.62,6.72
34,Mount Gambier,40,AU,1573942761,93,-37.83,140.78,10.0,1.0
35,Kapaa,90,US,1573942726,94,22.08,-159.32,29.0,1.5
36,Saint George,40,GR,1573942762,100,39.45,22.34,12.0,0.71
37,Rio Grande,0,BR,1573942762,69,-32.03,-52.1,23.0,2.6
38,Yellowknife,90,CA,1573942861,77,62.45,-114.38,-15.0,1.5
39,Muroto,40,JP,1573942762,70,33.37,134.14,9.0,4.6
40,Lebu,40,ET,1573942763,54,8.96,38.73,15.0,2.1
41,Mataura,33,NZ,1573942763,59,-46.19,168.86,14.44,5.36
42,Hermanus,52,ZA,1573942763,93,-34.42,19.24,15.0,6.78
43,Necochea,0,AR,1573943082,82,-38.55,-58.74,16.67,0.45
44,Butaritari,100,KI,1573942763,85,3.07,172.79,26.74,8.22
45,Santa Rosa,0,AR,1573942764,12,-36.62,-64.29,32.88,3.19
46,Saskylakh,100,RU,1573942764,97,71.97,114.09,-22.29,2.06
47,Kitimat,90,CA,1573942510,93,54.02,-128.69,7.0,3.6
48,Carnarvon,0,ZA,1573943083,47,-30.97,22.13,19.6,7.7
49,Cidreira,0,BR,1573943083,63,-30.17,-50.22,20.76,4.13
50,Harper,1,US,1573943084,31,30.3,-99.24,16.67,4.6
51,Tasiilaq,89,GL,1573942765,79,65.61,-37.64,-3.0,2.6
52,Bonavista,79,CA,1573942765,60,48.65,-53.11,-2.22,9.39
53,Vaini,19,IN,1573942766,88,15.34,74.49,20.05,2.52
54,Pilar,67,AR,1573942766,69,-34.46,-58.91,25.56,4.6
55,Lopatino,0,RU,1573942766,81,53.85,39.47,2.22,1.34
56,Klaksvik,100,FO,1573943085,80,62.23,-6.59,4.0,6.7
57,Paamiut,100,GL,1573942766,46,61.99,-49.67,-3.38,6.31
58,Busselton,0,AU,1573942767,60,-33.64,115.35,16.11,1.8
59,Yar-Sale,100,RU,1573943086,95,66.83,70.83,-17.58,7.78
60,Arraial do Cabo,0,BR,1573942767,88,-22.97,-42.02,22.0,5.1
61,Paramonga,92,PE,1573942767,90,-10.68,-77.82,17.41,5.45
62,Bima,28,ID,1573942768,97,-8.45,118.73,22.53,0.27
63,Margate,75,AU,1573942768,43,-43.03,147.26,10.56,1.5
64,Torbay,40,CA,1573943087,63,47.66,-52.73,-1.11,12.3
65,Bredasdorp,78,ZA,1573942768,77,-34.53,20.04,16.0,3.13
66,Lompoc,1,US,1573942769,46,34.64,-120.46,30.0,5.1
67,Berdigestyakh,100,RU,1573942769,95,62.1,126.7,-24.72,3.31
68,Chuy,94,UY,1573942769,76,-33.69,-53.46,23.2,2.67
69,Hobyo,20,SO,1573942769,78,5.35,48.53,26.36,7.05
70,Kodiak,1,US,1573942770,32,39.95,-94.76,13.89,5.1
71,Altay,63,CN,1573942770,37,47.83,88.13,-22.08,0.86
72,Mindyak,35,RU,1573942770,81,54.02,58.79,0.0,5.0
73,Gotsu,100,JP,1573942771,63,35.01,132.22,16.94,3.49
74,Flin Flon,90,CA,1573943090,85,54.77,-101.88,-5.0,5.1
75,Qaanaaq,100,GL,1573943090,90,77.48,-69.36,-12.77,2.21
76,Ngunguru,35,NZ,1573942772,69,-35.62,174.5,21.67,6.71
77,Airai,32,TL,1573943091,23,-8.93,125.41,20.75,2.07
78,Quincy,75,US,1573942772,70,47.23,-119.85,11.0,1.43
79,Catalina,23,PE,1573942772,30,-13.57,-76.13,22.0,8.7
80,Vanimo,100,PG,1573943091,78,-2.67,141.3,29.01,8.59
81,Kimbe,100,PG,1573942773,95,-5.56,150.15,23.82,0.49
82,Bambous Virieux,75,MU,1573942773,83,-20.34,57.76,24.44,5.7
83,Cape Town,20,ZA,1573942581,67,-33.93,18.42,16.67,7.7
84,Arman,80,RU,1573943092,66,59.7,150.17,-7.75,9.7
85,Port Hardy,75,CA,1573943092,100,50.7,-127.42,9.0,10.3
86,Povazska Bystrica,75,SK,1573942774,93,49.12,18.42,12.22,1.0
87,Constitucion,75,MX,1573943093,37,23.99,-104.67,22.0,3.1
88,Cedar City,1,US,1573942623,20,37.68,-113.06,17.0,4.1
89,Thinadhoo,100,MV,1573942774,77,0.53,72.93,27.27,4.61
90,Bluff,0,AU,1573942775,60,-23.58,149.07,24.63,4.6
91,Araouane,100,ML,1573942775,12,18.9,-3.53,26.4,3.68
92,Dubbo,48,AU,1573942775,19,-32.25,148.6,20.0,6.2
93,Lourdes,78,SV,1573942775,65,13.73,-89.37,30.0,3.1
94,Kruisfontein,100,ZA,1573942775,96,-34.0,24.73,15.93,3.55
95,Hobart,75,AU,1573942574,43,-42.88,147.33,11.11,1.5
96,Fairbanks,90,US,1573942665,84,64.84,-147.72,-12.78,3.1
97,Torbeyevo,99,RU,1573942776,78,54.07,43.25,0.73,5.38
98,Angouleme,90,FR,1573942776,100,45.65,0.15,7.22,1.5
99,Georgetown,40,GY,1573942676,78,6.8,-58.16,28.0,3.1
100,Russell,1,US,1573942777,30,38.9,-98.86,18.0,6.2
101,Lima,75,PE,1573943027,73,-12.06,-77.04,21.0,5.1
102,Luderitz,17,NA,1573942777,72,-26.65,15.16,19.0,10.3
103,Male,36,UA,1573943097,79,50.74,33.7,3.53,2.83
104,Richards Bay,16,ZA,1573942777,75,-28.77,32.06,21.49,4.65
105,Liepaja,100,LV,1573942778,93,56.52,21.02,10.0,3.6
106,Raton,1,US,1573942778,19,36.9,-104.44,16.67,2.1
107,Iqaluit,90,CA,1573942778,72,63.75,-68.52,-8.0,5.7
108,Port Hedland,0,AU,1573942778,78,-20.31,118.58,22.0,2.6
109,Bambanglipuro,59,ID,1573942778,93,-7.95,110.28,23.32,2.07
110,Petropavlovskaya,0,RU,1573942779,69,45.08,40.45,6.41,4.59
111,New Norfolk,75,AU,1573942779,43,-42.78,147.06,10.56,1.5
112,Rabupura,0,IN,1573942779,82,28.25,77.6,16.0,2.1
113,Mar del Plata,100,AR,1573942779,21,-46.43,-67.52,21.65,13.44
114,Rocha,100,UY,1573942780,78,-34.48,-54.34,21.25,3.55
115,Guerrero Negro,3,MX,1573942780,58,27.97,-114.04,22.67,5.13
116,Fortuna,1,US,1573942780,82,40.6,-124.16,20.56,4.1
117,Pevek,76,RU,1573943100,80,69.7,170.27,-15.73,0.91
118,Los Llanos de Aridane,90,ES,1573942780,60,28.66,-17.92,20.0,8.2
119,Vardo,1,US,1573942781,23,39.62,-77.74,5.0,4.1
120,Yulara,0,AU,1573943100,14,-25.24,130.99,26.0,4.6
121,Tiksi,100,RU,1573942781,97,71.64,128.87,-19.27,1.84
122,Haines Junction,100,CA,1573943101,97,60.75,-137.51,-2.44,1.42
123,Dunedin,33,NZ,1573943101,68,-45.87,170.5,11.02,1.35
124,Geraldton,90,CA,1573942782,85,49.72,-86.95,0.0,7.2
125,Denpasar,20,ID,1573942556,94,-8.65,115.22,26.0,0.5
126,Oranjestad,20,AW,1573942512,70,12.52,-70.03,29.0,4.6
127,Port Elizabeth,1,US,1573942783,41,39.31,-74.98,6.67,6.2
128,Zeya,0,RU,1573942783,88,53.74,127.27,-21.98,0.82
129,Coihaique,90,CL,1573942659,93,-45.58,-72.07,9.0,3.6
130,Ngaoundere,7,CM,1573942783,49,7.32,13.58,21.56,0.3
131,Ayagoz,100,KZ,1573942784,54,47.96,80.43,-13.15,1.36
132,Touros,20,BR,1573943104,74,-5.2,-35.46,27.0,4.6
133,Nikolskoye,90,RU,1573942784,93,59.7,30.79,3.0,4.0
134,Strezhevoy,90,RU,1573943105,85,60.73,77.6,-9.0,2.0
135,Bermeo,75,ES,1573942785,87,43.42,-2.72,8.33,1.5
136,Thompson,90,CA,1573942785,78,55.74,-97.86,-8.0,2.6
137,Itacare,20,BR,1573942785,74,-14.28,-39.0,28.0,3.6
138,Ust-Tsilma,97,RU,1573942785,89,65.44,52.15,-2.68,4.35
139,Paidha,0,UG,1573942786,79,2.42,30.99,19.01,2.8
140,Itoman,75,JP,1573942786,69,26.12,127.67,23.0,2.6
141,Mizan Teferi,35,ET,1573942786,90,6.99,35.58,16.81,1.56
142,Half Moon Bay,90,US,1573942787,93,37.46,-122.43,24.44,5.1
143,Castro,90,CL,1573942787,87,-42.48,-73.76,12.0,7.2
144,Mathathane,51,BW,1573942787,32,-22.27,28.75,27.54,3.72
145,Nanortalik,100,GL,1573942787,79,60.14,-45.24,-0.05,12.62
146,Mahebourg,75,MU,1573942787,83,-20.41,57.7,24.44,5.7
147,Barranca,100,PE,1573942788,89,-10.75,-77.76,18.25,5.53
148,Pachino,0,IT,1573942788,72,36.72,15.09,18.0,8.2
149,Aklavik,20,CA,1573943109,75,68.22,-135.01,-23.0,2.6
150,Padang,100,ID,1573943109,89,-0.92,100.36,18.16,1.79
151,Teya,75,MX,1573942789,57,21.05,-89.07,24.44,3.6
152,Harlingen,90,NL,1573942789,81,53.18,5.41,7.0,5.7
153,Lanigan,97,CA,1573942789,91,51.85,-105.03,0.23,6.76
154,Srednekolymsk,100,RU,1573942790,95,67.46,153.71,-15.34,3.26
155,Dikson,0,RU,1573942790,88,73.51,80.55,-24.5,3.68
156,Nouadhibou,19,MR,1573942790,78,20.93,-17.03,22.0,4.6
157,Doka,0,SD,1573942790,24,13.52,35.76,27.8,1.56
158,Hunsur,100,IN,1573942791,96,12.3,76.29,18.85,3.46
159,Ostrovnoy,95,RU,1573942791,95,68.05,39.51,-5.25,3.08
160,Abha,33,SA,1573942791,71,18.22,42.5,14.0,0.33
161,Ouadda,2,CF,1573942791,39,8.07,22.4,22.93,2.13
162,Kununurra,77,AU,1573942791,88,-15.77,128.74,23.0,0.5
163,Sawakin,0,SD,1573942792,70,19.1,37.33,28.17,5.29
164,Trat,0,TH,1573942792,65,12.25,102.51,27.22,2.76
165,Mayo,90,CA,1573943113,71,63.59,-135.9,-14.0,4.6
166,Karratha,0,AU,1573942792,57,-20.74,116.85,27.9,4.7
167,Kattivakkam,20,IN,1573942793,94,13.22,80.32,25.0,1.0
168,Wattegama,89,LK,1573942793,97,7.35,80.68,21.49,0.74
169,Plateros,90,MX,1573942793,59,23.23,-102.84,17.0,1.5
170,Cherskiy,74,RU,1573942793,100,68.75,161.3,-21.92,1.09
171,Berlevag,25,NO,1573942793,73,70.86,29.09,0.95,5.0
172,Belmonte,4,PT,1573942534,85,40.36,-7.35,6.67,2.45
173,Hay River,75,CA,1573942794,71,60.82,-115.79,-13.0,1.54
174,Naze,75,NG,1573942794,94,5.43,7.07,24.0,1.47
175,Mbekenyera,3,TZ,1573942794,89,-10.0,38.98,23.0,3.15
176,Teahupoo,20,PF,1573942794,70,-17.83,-149.27,30.0,4.6
177,Faya,96,SA,1573943116,71,18.39,42.45,14.0,1.32
178,Ribeira Grande,20,PT,1573942795,72,38.52,-28.7,15.0,2.6
179,Batticaloa,0,LK,1573942600,92,7.71,81.69,23.2,0.94
180,Bonoua,20,CI,1573942795,83,5.27,-3.6,28.0,2.1
181,Leningradskiy,57,RU,1573942796,78,69.38,178.42,-9.44,1.94
182,Gat,100,SN,1573942796,78,14.69,-16.54,29.0,3.1
183,Bantilan,100,PH,1573942796,98,14.75,121.67,22.29,1.42
184,Sitka,2,US,1573942796,27,37.17,-99.65,21.11,2.24
185,Champerico,75,MX,1573942797,64,16.38,-93.6,24.0,7.7
186,Mackay,90,CA,1573942797,86,53.65,-115.58,1.0,1.0
187,Beloha,51,MG,1573942797,81,-25.17,45.06,23.28,6.62
188,Alofi,46,NU,1573942798,69,-19.06,-169.92,27.0,3.6
189,Ljungby,100,SE,1573942798,93,56.83,13.94,8.0,6.2
190,Aleksandrovsk-Sakhalinskiy,100,RU,1573943119,86,50.9,142.16,-1.64,24.9
191,Tabory,100,PL,1573942798,85,53.89,19.53,7.22,3.38
192,Hithadhoo,100,MV,1573942798,75,-0.6,73.08,27.49,4.96
193,Oktyabrskiy,90,RU,1573942799,93,55.61,37.97,4.0,2.0
194,Santa Cruz de la Palma,90,ES,1573942799,60,28.68,-17.76,20.0,8.2
195,Huadian,100,CN,1573942799,55,42.97,126.75,-7.01,1.34
196,Bilma,0,NE,1573943121,22,18.69,12.92,23.34,1.62
197,Terrace,90,CA,1573942711,93,54.52,-128.61,7.0,3.6
198,Mikuni,40,JP,1573942800,87,36.22,136.15,8.0,1.0
199,Puerto Ayora,40,EC,1573942800,61,-0.74,-90.35,26.0,3.1
200,Tautira,20,PF,1573943122,70,-17.73,-149.15,30.0,4.6
201,Pangnirtung,11,CA,1573942801,72,66.15,-65.72,-13.67,1.33
202,Zhezkazgan,0,KZ,1573942801,44,47.8,67.71,-6.95,1.33
203,Yarada,0,IN,1573942801,94,17.65,83.27,23.0,1.0
204,Tuktoyaktuk,75,CA,1573942802,76,69.44,-133.03,-21.0,4.6
205,Khartoum,10,SD,1573942802,23,15.59,32.54,29.0,6.7
206,Ayorou,56,NE,1573942802,14,14.73,0.92,30.31,3.17
207,Saint-Philippe,0,CA,1573942803,48,45.36,-73.48,-6.0,2.39
208,Chokurdakh,100,RU,1573942803,97,70.62,147.9,-18.65,2.11
209,Uruzgan,22,AF,1573942803,71,32.93,66.63,1.03,1.01
210,Lahij,5,YE,1573942803,71,13.06,44.88,25.88,7.11
211,Khatanga,56,RU,1573942803,90,71.98,102.47,-24.51,1.14
212,Soyo,100,AO,1573942804,84,-6.13,12.37,26.03,1.3
213,Mehamn,0,NO,1573942804,87,71.03,27.85,-4.37,4.28
214,Pringsewu,74,ID,1573942804,98,-5.36,104.98,21.03,1.01
215,Kaseda,44,JP,1573942804,76,31.42,130.32,9.0,2.1
216,Onokhoy,40,RU,1573942805,54,51.92,108.05,-15.0,5.0
217,Sao Joao da Barra,97,BR,1573942805,73,-21.64,-41.05,24.0,4.1
218,Ongandjera,23,NA,1573943126,12,-17.88,15.07,26.59,5.81
219,Olinda,75,AU,1573943127,71,-37.84,145.39,13.89,4.1
220,Placido de Castro,64,BR,1573942806,61,-10.34,-67.19,29.86,0.18
221,Santiago,100,PH,1573942627,95,16.69,121.54,21.65,0.64
222,Juan Lacaze,20,UY,1573942807,69,-34.43,-57.44,24.0,3.6
223,San Patricio,0,PY,1573942807,51,-26.98,-56.83,26.23,2.77
224,Grindavik,40,IS,1573943129,86,63.84,-22.43,1.0,7.7
225,Picos,67,BR,1573942808,39,-7.08,-41.47,30.54,1.14
226,Valavanur,96,IN,1573942808,90,11.92,79.58,23.93,4.56
227,Lasa,0,CY,1573942808,67,34.92,32.53,18.0,2.1
228,Konya,40,TR,1573942802,93,37.87,32.48,9.0,1.0
229,Kenema,84,SL,1573942809,84,7.89,-11.19,24.78,1.19
230,Tuatapere,2,NZ,1573943130,59,-46.13,167.69,14.44,5.36
231,Baykit,61,RU,1573942809,98,61.68,96.39,-32.78,0.84
232,Mastic Beach,1,US,1573942809,19,40.77,-72.85,3.33,8.09
233,San Cristobal,100,HN,1573943130,83,14.68,-86.92,22.45,4.69
234,East London,31,ZA,1573942810,78,-33.02,27.91,19.15,2.13
235,Clermont,75,FR,1573942810,93,49.38,2.41,6.11,2.6
236,Port Hawkesbury,90,CA,1573942810,68,45.62,-61.36,-0.56,9.3
237,Inirida,37,CO,1573942810,70,3.87,-67.92,30.18,0.82
238,Pishva,75,IR,1573942810,69,35.31,51.73,3.0,6.2
239,Qaqortoq,100,GL,1573942811,34,60.72,-46.03,1.0,7.2
240,Nishihara,1,JP,1573942811,81,35.74,139.53,14.0,3.46
241,Hilo,75,US,1573942811,69,19.71,-155.08,28.0,4.6
242,Nantucket,1,US,1573943132,47,41.28,-70.1,2.78,7.2
243,Hamilton,40,CA,1573942832,73,43.26,-79.87,-0.56,9.8
244,Hailar,100,CN,1573942812,54,49.2,119.7,-14.46,4.59
245,North Platte,40,US,1573942812,31,41.12,-100.77,16.0,6.2
246,Salalah,40,OM,1573942812,54,17.01,54.1,26.0,1.5
247,Krasnovishersk,100,RU,1573942812,98,60.4,57.08,-1.0,0.82
248,Katsuura,20,JP,1573942812,76,33.93,134.5,10.0,3.6
249,Ushtobe,0,KZ,1573942813,37,45.25,77.98,-4.35,1.6
250,Sur,74,OM,1573942813,41,22.57,59.53,22.16,1.91
251,Port-Cartier,20,CA,1573942813,53,50.03,-66.88,-3.89,6.7
252,Cangzhou,100,CN,1573942813,95,38.3,116.85,9.47,2.54
253,Liuhe,100,CN,1573942814,66,42.28,125.73,-6.61,1.42
254,Mutoko,100,ZW,1573942814,72,-17.4,32.23,22.27,2.11
255,Talnakh,0,RU,1573942814,77,69.49,88.39,-19.0,3.0
256,Esperance,0,AU,1573942814,56,-33.86,121.89,20.0,9.8
257,Broome,100,GB,1573942815,86,52.47,1.45,6.11,3.1
258,Eureka,1,US,1573942783,82,40.8,-124.16,18.89,4.1
259,Severo-Kurilsk,55,RU,1573942815,80,50.68,156.12,-7.07,2.11
260,Soderhamn,100,SE,1573942815,97,61.3,17.06,5.0,4.02
261,Atar,67,MR,1573943136,34,20.52,-13.05,21.75,5.19
262,Pathein,0,MM,1573942816,84,16.78,94.73,26.34,2.82
263,Conselheiro Pena,100,BR,1573942816,83,-19.17,-41.47,24.19,2.8
264,Verkhnevilyuysk,100,RU,1573942816,96,63.45,120.31,-22.27,2.85
265,Nhulunbuy,40,AU,1573942816,78,-12.18,136.78,28.0,2.1
266,Petropavlovka,100,RU,1573942820,76,50.61,105.32,-21.06,4.3
267,Payakumbuh,100,ID,1573942820,94,-0.23,100.63,18.17,0.34
268,Sao Joao de Pirabas,67,BR,1573942820,73,-0.77,-47.18,26.91,2.22
269,Kidal,36,ML,1573942820,9,18.44,1.41,23.3,3.83
270,Nome,1,US,1573942821,42,30.04,-94.42,18.33,2.6
271,Tilichiki,100,RU,1573942821,78,60.47,166.1,-13.75,4.41
272,Tual,96,ID,1573942821,81,-5.67,132.75,27.02,1.76
273,Ponta do Sol,45,BR,1573942821,75,-20.63,-46.0,22.96,3.34
274,Dwarka,0,IN,1573942822,82,28.58,77.04,16.0,2.1
275,Waingapu,0,ID,1573942822,73,-9.65,120.26,27.74,2.1
276,Hofn,77,IS,1573943141,56,64.25,-15.21,4.39,3.79
277,Quatre Cocos,75,MU,1573942822,83,-20.21,57.76,24.44,5.7
278,Biggar,100,CA,1573942822,98,52.06,-107.98,1.04,5.38
279,Arlit,1,NE,1573942823,12,18.74,7.39,28.12,3.11
280,Lagoa,0,PT,1573942823,71,37.14,-8.45,10.56,2.6
281,Buala,74,SB,1573942823,84,-8.15,159.59,27.7,4.85
282,Minot,90,US,1573942539,75,48.23,-101.3,5.0,10.8
283,Dingle,100,PH,1573942824,88,11.0,122.67,22.77,0.73
284,Wonthaggi,89,AU,1573942527,74,-38.6,145.59,14.44,4.25
285,Sioux Lookout,90,CA,1573942646,60,50.1,-91.92,4.0,4.1
286,Saint Anthony,40,US,1573942825,25,43.97,-111.68,11.0,3.6
287,Rapid Valley,90,US,1573942825,61,44.06,-103.15,9.44,7.2
288,Jalu,100,LY,1573942825,43,29.03,21.55,17.65,4.41
289,Elizabeth City,90,US,1573942825,87,36.3,-76.22,10.56,11.3
290,Namatanai,100,PG,1573942825,86,-3.66,152.44,25.62,3.02
291,Itupiranga,0,BR,1573942826,62,-5.13,-49.33,30.0,1.5
292,Langsa,100,ID,1573942826,88,4.47,97.97,24.62,0.64
293,Hadsund,100,DK,1573942826,100,56.72,10.12,8.0,3.1
294,Ixtapa,90,MX,1573942826,69,20.71,-105.21,28.0,2.1
295,Samarai,100,PG,1573942827,92,-10.62,150.67,25.05,1.78
296,Fort Nelson,75,CA,1573942827,77,58.81,-122.69,-15.0,1.0
297,Baoshan,67,CN,1573942827,87,31.41,121.49,18.33,3.0
298,Westport,1,US,1573942753,21,41.14,-73.36,4.0,4.6
299,Henties Bay,88,NA,1573942827,93,-22.12,14.28,16.11,1.79
300,Mobaye,100,CF,1573942828,89,4.33,21.18,23.48,0.54
301,Launceston,0,AU,1573942828,53,-41.43,147.14,12.22,1.5
302,Ahipara,73,NZ,1573942828,87,-35.17,173.16,23.33,5.34
303,Kawalu,52,ID,1573942828,93,-7.38,108.21,19.96,1.19
304,Sovetskiy,100,RU,1573942829,82,56.76,48.47,-0.52,5.13
305,Port Hueneme,1,US,1573942829,44,34.15,-119.2,31.11,5.1
306,Anadyr,40,RU,1573942829,78,64.73,177.51,-8.0,3.0
307,Isangel,75,VU,1573942829,58,-19.55,169.27,28.0,6.2
308,Atambua,28,ID,1573943153,79,-9.11,124.89,22.76,1.04
309,Kahului,1,US,1573942830,62,20.89,-156.47,29.44,8.2
310,Antalaha,96,MG,1573942830,83,-14.9,50.28,26.95,4.27
311,Besikduzu,40,TR,1573942830,72,41.05,39.23,15.0,3.6
312,Maningrida,52,AU,1573942830,89,-12.05,134.23,24.42,2.4
313,Maues,100,BR,1573942830,92,-3.38,-57.72,24.7,1.42
314,Port Keats,2,AU,1573942831,83,-14.25,129.55,26.64,1.75
315,Whitefish Bay,40,US,1573942831,69,43.11,-87.9,3.33,5.1
316,Vostok,96,RU,1573943155,96,46.45,135.83,-18.81,1.94
317,Sambava,78,MG,1573943155,97,-14.27,50.17,22.51,0.63
318,Tapes,0,BR,1573942832,64,-30.67,-51.4,20.35,1.99
319,Petropavlovsk-Kamchatskiy,40,RU,1573942832,78,53.05,158.65,-10.0,4.0
320,Kavaratti,100,IN,1573942832,75,10.57,72.64,28.03,3.56
321,Poptun,33,GT,1573942833,65,16.33,-89.42,25.59,1.94
322,Nizhnevartovsk,90,RU,1573943156,85,60.93,76.58,-9.0,2.0
323,Upernavik,100,GL,1573942833,62,72.79,-56.15,-6.94,4.79
324,Mountain Home,1,US,1573942833,35,43.13,-115.69,13.0,7.2
325,Hami,0,CN,1573943157,24,42.84,93.51,-9.55,0.48
326,Khilok,100,RU,1573942834,79,51.36,110.46,-17.33,2.19
327,Marzuq,0,YE,1573942834,74,14.4,46.47,18.98,2.69
328,Lieksa,100,FI,1573942834,85,63.32,30.02,-1.25,2.55
329,Goiatuba,81,BR,1573942835,61,-18.02,-49.36,27.73,1.37
330,Madruga,75,CU,1573942835,60,22.91,-81.86,24.0,4.6
331,Basugaon,0,IN,1573942835,84,26.47,90.4,20.25,0.89
332,Visnes,99,NO,1573942835,80,59.36,5.22,5.56,3.6
333,Camabatela,100,AO,1573942835,99,-8.19,15.37,17.64,1.23
334,Raglan,40,AU,1573942836,69,-23.72,150.82,27.0,2.1
335,Mugur-Aksy,81,RU,1573942836,66,50.38,90.44,-27.45,3.44
336,Egvekinot,60,RU,1573942836,95,66.32,-179.17,-14.54,4.71
337,Dicabisagan,100,PH,1573942836,89,17.08,122.42,25.03,4.61
338,Cabo San Lucas,90,MX,1573942716,61,22.89,-109.91,28.0,4.1
339,Marsh Harbour,94,BS,1573942837,80,26.54,-77.06,21.72,9.86
340,Havre-Saint-Pierre,1,CA,1573942837,62,50.23,-63.6,-7.0,8.7
341,Sola,71,TZ,1573942837,76,-3.17,33.8,21.17,2.42
342,Kuandian,100,CN,1573942838,58,40.73,124.78,1.77,2.26
343,Costinesti,90,RO,1573942771,93,43.95,28.63,15.56,4.1
344,Cervo,11,BR,1573943168,78,-22.19,-46.24,19.65,2.39
345,Tokonou,79,GN,1573942838,80,9.65,-9.78,23.91,1.4
346,Carballo,75,ES,1573942838,87,43.21,-8.69,11.67,2.1
